1;"Heumarkt";11110
2;"Neumarkt";11111
3;"Poststr.";11112
4;"Mauritiuskirche";11113
5;"Gürzenichstr.";11150
6;"Rathaus";11151
7;"Appellhofplatz";11209
8;"Dom / Hbf";11201
9;"Breslauer Platz/Hbf";11212
11;"Severinstr.";11311
12;"Waidmarkt";11352
13;"Rosenstr.";11354
14;"Silbermöwenweg";14549
15;"Severinskirche";11355
17;"Ubierring";11410
18;"Chlodwigplatz";11411
19;"Ulrepforte";11412
20;"Alteburger Wall";11451
21;"Eifelplatz";11509
22;"Eifelstr.";11510
23;"Barbarossaplatz";11511
24;"Zülpicher Platz";11512
25;"Dasselstr./Bf Süd";11513
26;"Eifelwall";11514
27;"Rudolfplatz";11610
28;"Moltkestr.";11611
29;"Roonstr.";11651
30;"Friesenplatz";11710
31;"Hans-Böckler-Platz/Bf West";11701
32;"Christophstr./Mediapark";11712
34;"Reichenspergerplatz";11809
35;"Ebertplatz";11810
36;"Hansaring";11801
37;"Worringer Str.";11851
38;"Krefelder Wall";11852
39;"Deutzer Freiheit";11909
40;"Suevenstr.";11910
41;"Bf Deutz / Messe  LANXESS arena";11901
42;"Koelnmesse";11912
44;"Deutz-Kalker Bad";11914
45;"Severinsbrücke";11916
46;"Drehbrücke";11917
47;"Poller Kirchweg";11918
48;"Betzdorfer Str.";11951
51;"Im Rheinpark";11953
52;"Pohligstr.";12011
53;"Herthastr.";12012
54;"Gottesweg";12013
56;"Zollstockgürtel";12015
57;"Zollstock Südfriedhof";12016
58;"Zollstocksweg";12051
59;"Roisdorfer Str.";12052
60;"Kendenicher Str.";12053
61;"Oberer Komarweg";12054
62;"Brüggener Str.";12055
63;"Bernkasteler Str.";12061
64;"Rheinsteinstr.";12151
65;"Schönhauser Str.";12211
66;"Marktstraße";12250
67;"Koblenzer Str.";12222
68;"Tacitusstr.";12254
69;"Mannsfeld";12251
70;"Cäsarstr.";12252
71;"Leichweg";12351
72;"Liblarer Str.";12352
73;"Heeresamt";12353
74;"Brühler Str./Gürtel";12361
75;"Wasserwerk";12371
76;"Bayenthalgürtel";12410
78;"Goltsteinstr./Gürtel";12421
79;"Marienburger Str.";12422
80;"Marienburg Südpark";12423
81;"Bonner Str./Gürtel";12452
82;"Gaedestr.";12453
83;"Leyboldstr.";12454
84;"Arnoldshöhe";12455
85;"Am Kölnberg";12551
86;"Meschenich Kirche";12552
87;"Engeldorfer Str.";12553
88;"Frankenstr.";12554
89;"Engeldorfer Hof";12555
90;"Kettelerstr.";12557
91;"Josef-Lammerting-Allee";13550
92;"Höningen Rondorfer Weg";12561
93;"Höningen Siedlung";12562
94;"Bonner Landstr.";12651
95;"Hochkirchen";12652
96;"Lerchenweg";12653
97;"Rondorf";12654
98;"Bödinger Str.";12655
99;"Westerwaldstr.";12656
101;"Am Steinneuerhof";12658
102;"Friedhof Steinneuerhof";12659
103;"Kirschbaumweg";12661
104;"Mannesmannstr.";12662
105;"Hahnwald";12665
106;"Rodenkirchen Bf";12711
